Time (s),Surge Velocity,Sway Velocity,Yaw Rate,Position X,Position Y,Yaw Angle,Speed U,Rudder Angle (rad)
0,0.0,0.0,0.0,0.0,0.0,76.467,7.7175,0.0
4,-1.3997e-06,-0.0047094,0.015842,7.2261,30.012,76.501,7.7175,3.215e-05
8,-3.9764e-05,-0.012832,0.033166,14.442,60.027,76.591,7.7175,-0.02582
12,-0.00011435,-0.018912,0.035349,21.628,90.049,76.738,7.7174,0.019314
16,-0.00021031,-0.021415,0.032401,28.752,120.09,76.867,7.7173,0.0037128
20,-0.00060713,-0.019769,0.017744,35.819,150.13,76.996,7.7169,0.087803
24,-0.00096754,-0.013475,0.0084776,42.814,180.2,77.016,7.7165,-0.016451
28,-0.0015433,-0.0025297,-0.016579,49.782,210.27,77.024,7.716,0.088184
32,-0.0016435,0.0028873,-0.012159,56.727,240.34,76.957,7.7159,0.023754
36,-0.0016638,0.0058032,-0.0071855,63.685,270.41,76.91,7.7158,0.0011692
40,-0.0016661,0.0072502,-0.0049067,70.656,300.47,76.89,7.7158,0.021419
44,-0.0016558,0.0071152,0.00078623,77.631,330.54,76.873,7.7158,-0.0040698
48,-0.0016074,0.0039716,0.0080317,84.615,360.6,76.898,7.7159,0.019645
52,-0.0016334,0.0041802,0.0059246,91.587,390.67,76.916,7.7159,0.0001294
56,-0.0018097,0.0090697,-0.0078558,98.547,420.73,76.914,7.7157,0.029552
60,-0.0018553,0.010856,-0.0083619,105.51,450.8,76.891,7.7157,0.04683
64,-0.0019102,0.014109,-0.011484,112.47,480.87,76.85,7.7156,0.030404
68,-0.0020368,0.01552,-0.012292,119.44,510.93,76.821,7.7155,0.067482
72,-0.0021737,0.019487,-0.017669,126.43,540.99,76.766,7.7154,0.053923
76,-0.0021573,0.015714,-0.0013142,133.44,571.05,76.726,7.7154,0.01146
80,-0.002246,0.018128,-0.008438,140.46,601.1,76.698,7.7153,0.005745
84,-0.0022363,0.017041,-0.0061125,147.5,631.15,76.681,7.7153,0.039906
88,-0.0023159,0.016174,-0.00049312,154.55,661.19,76.644,7.7152,-0.031581
92,-0.0024671,0.019093,-0.012232,161.61,691.23,76.63,7.7151,0.038036
96,-0.0025227,0.021897,-0.014335,168.68,721.27,76.565,7.715,0.0053119
100,-0.0025534,0.020002,-0.0089197,175.79,751.31,76.539,7.715,0.053725
104,-0.0025819,0.020639,-0.0076762,182.9,781.33,76.49,7.7149,-0.0042044
108,-0.0026148,0.021045,-0.0080787,190.03,811.36,76.451,7.7149,-0.0042023
112,-0.0025838,0.019414,-0.0059819,197.19,841.38,76.435,7.7149,0.035351
116,-0.0025432,0.018512,-0.004037,204.36,871.39,76.409,7.715,0.011593
120,-0.0025629,0.019938,-0.0098265,211.55,901.4,76.385,7.715,0.030093
124,-0.0025534,0.017595,-0.00044092,218.74,931.41,76.347,7.715,-0.022888
128,-0.0026153,0.018753,-0.0074945,225.96,961.42,76.335,7.7149,0.019068
132,-0.0025846,0.018473,-0.0071377,233.19,991.42,76.311,7.7149,0.030614
136,-0.0025571,0.018651,-0.0070412,240.42,1021.4,76.28,7.715,0.018892
140,-0.0025259,0.017978,-0.006132,247.68,1051.4,76.261,7.715,0.032629
144,-0.0024615,0.015629,0.00023578,254.95,1081.4,76.243,7.7151,0.0051851
148,-0.0025076,0.017514,-0.0083814,262.23,1111.4,76.232,7.715,0.034292
152,-0.0024558,0.015144,0.00043831,269.51,1141.4,76.206,7.7151,-0.0073431
156,-0.002514,0.016264,-0.0046726,276.81,1171.4,76.191,7.715,0.0017993
160,-0.0024587,0.011324,0.0087022,284.12,1201.3,76.188,7.715,-0.024778
164,-0.0025612,0.011931,0.0011991,291.44,1231.3,76.202,7.7149,-0.0033698
168,-0.0026583,0.015452,-0.010103,298.75,1261.3,76.188,7.7149,0.031019
172,-0.0025759,0.012586,0.000876,306.06,1291.3,76.168,7.7149,0.0092545
176,-0.0025866,0.013991,-0.0046052,313.39,1321.3,76.159,7.7149,0.017631
180,-0.002566,0.009978,0.0039971,320.73,1351.2,76.173,7.7149,0.043014
184,-0.0026263,0.0092748,0.005908,328.06,1381.2,76.168,7.7149,-0.028324
188,-0.0026732,0.0099051,-0.0013587,335.4,1411.2,76.191,7.7148,0.038087
192,-0.0026473,0.010458,-0.00087556,342.73,1441.2,76.176,7.7149,0.0038847
196,-0.0027452,0.01267,-0.0044602,350.06,1471.1,76.151,7.7148,-0.013184
200,-0.0028502,0.008485,0.0029472,357.4,1501.1,76.18,7.7147,0.070909
204,-0.0028718,0.0096912,-0.0012993,364.74,1531.1,76.18,7.7146,0.034097
208,-0.0029712,0.010248,-0.0047171,372.08,1561.1,76.188,7.7145,0.071564
212,-0.0029323,0.0083158,0.0042275,379.41,1591.0,76.174,7.7146,0.0024041
216,-0.0029334,0.0076243,0.0053062,386.75,1621.0,76.18,7.7146,-0.017124
220,-0.0028802,0.0061622,0.0061105,394.08,1651.0,76.204,7.7146,0.0056875
224,-0.0029812,0.0085457,-0.00044664,401.41,1681.0,76.2,7.7145,-0.010881
228,-0.0028781,0.0055538,0.0072689,408.74,1710.9,76.216,7.7146,0.005432
232,-0.0030932,0.0087007,-0.0070052,416.06,1740.9,76.242,7.7144,0.08403
236,-0.0031237,0.0069442,0.0024467,423.38,1770.9,76.231,7.7144,0.03133
240,-0.0031304,0.0097869,-0.0047108,430.69,1800.9,76.222,7.7144,0.023583
244,-0.0030475,0.009507,-0.0009187,438.0,1830.8,76.209,7.7145,0.013018
248,-0.0029701,0.0082943,0.0016409,445.33,1860.8,76.217,7.7145,0.028742
252,-0.0028885,0.004485,0.012134,452.65,1890.8,76.231,7.7146,-0.017759
