Time (s),Surge Velocity,Sway Velocity,Yaw Rate,Position X,Position Y,Yaw Angle,Speed U,Rudder Angle (rad),Abs Sway,Abs Rudder
0,0.0,0.0,0.0,0.0,0.0,67.803,7.7175,0.0,0.0,0.0
4,-1.402e-06,-0.0047189,0.015868,11.665,28.581,67.837,7.7175,-2.0249e-05,0.0047189,2.0249e-05
8,-2.5625e-05,-0.0096992,0.023403,23.319,57.167,67.922,7.7175,0.017285,0.0096992,0.017285
12,-7.7638e-05,-0.016497,0.032892,34.944,85.764,68.041,7.7174,0.018476,0.016497,0.018476
16,-0.00016072,-0.019115,0.029868,46.522,114.38,68.166,7.7174,0.017305,0.019115,0.017305
20,-0.00051128,-0.013896,0.009011,58.043,143.02,68.257,7.717,0.0653,0.013896,0.0653
24,-0.00064879,-0.013558,0.01247,69.519,171.67,68.305,7.7169,0.044792,0.013558,0.044792
28,-0.00095855,-0.0053048,-0.0057371,80.959,200.34,68.321,7.7165,0.054367,0.0053048,0.054367
32,-0.0010439,-0.0010157,-0.0039573,92.377,229.02,68.289,7.7165,0.005666,0.0010157,0.005666
36,-0.0012735,0.0062773,-0.013832,103.79,257.7,68.249,7.7162,0.017342,0.0062773,0.017342
40,-0.0013199,0.0037117,0.00074426,115.22,286.37,68.24,7.7162,0.044102,0.0037117,0.044102
44,-0.0013038,0.00051435,0.012288,126.65,315.04,68.255,7.7162,-0.009248,0.00051435,0.009248
48,-0.001679,0.0073565,-0.0076035,138.06,343.71,68.256,7.7158,0.011914,0.0073565,0.011914
52,-0.0018275,0.0077675,-0.0061302,149.48,372.39,68.255,7.7157,0.073548,0.0077675,0.073548
56,-0.0018626,0.0089012,-0.00286,160.88,401.07,68.226,7.7156,0.01344,0.0089012,0.01344
60,-0.0020233,0.010181,-0.0072178,172.3,429.74,68.23,7.7155,0.075154,0.010181,0.075154
64,-0.0020675,0.011913,-0.0058833,183.71,458.41,68.194,7.7154,0.01634,0.011913,0.01634
68,-0.0021502,0.015714,-0.012111,195.14,487.08,68.153,7.7154,0.016551,0.015714,0.016551
72,-0.0021135,0.014375,-0.004975,206.57,515.75,68.127,7.7154,0.029859,0.014375,0.029859
76,-0.0022404,0.017592,-0.0099048,218.02,544.41,68.08,7.7153,-0.0075027,0.017592,0.0075027
80,-0.0022229,0.015467,-0.0041973,229.49,573.06,68.068,7.7153,0.039,0.015467,0.039
84,-0.0023173,0.019007,-0.011785,240.95,601.71,68.025,7.7152,0.011329,0.019007,0.011329
88,-0.0022436,0.015701,-0.0002866,252.45,630.35,67.999,7.7153,0.0018727,0.015701,0.0018727
92,-0.0024582,0.021065,-0.015994,263.94,658.99,67.963,7.7151,0.021636,0.021065,0.021636
96,-0.002456,0.020461,-0.011141,275.46,687.62,67.92,7.7151,0.041911,0.020461,0.041911
100,-0.0024744,0.022159,-0.012715,286.99,716.24,67.867,7.7151,0.018874,0.022159,0.018874
104,-0.0025948,0.018571,-0.005111,298.56,744.86,67.858,7.7149,0.07034,0.018571,0.07034
108,-0.0026884,0.020979,-0.0096793,310.12,773.47,67.809,7.7148,0.00024054,0.020979,0.00024054
112,-0.0026569,0.019154,-0.0033217,321.71,802.07,67.774,7.7149,-0.010929,0.019154,0.010929
116,-0.0026379,0.01848,-0.0043546,333.32,830.66,67.76,7.7149,0.011585,0.01848,0.011585
120,-0.0027084,0.019278,-0.0058345,344.93,859.25,67.724,7.7148,-0.015528,0.019278,0.015528
124,-0.0026967,0.018997,-0.0063713,356.56,887.84,67.702,7.7148,0.012404,0.018997,0.012404
128,-0.0027105,0.018577,-0.0077977,368.21,916.41,67.688,7.7148,0.050685,0.018577,0.050685
132,-0.0026939,0.018274,-0.0047512,379.86,944.99,67.65,7.7148,0.00017187,0.018274,0.00017187
136,-0.0026418,0.016665,-0.001556,391.54,973.55,67.635,7.7149,0.0022408,0.016665,0.0022408
140,-0.0027348,0.019991,-0.013091,403.22,1002.1,67.611,7.7148,0.037559,0.019991,0.037559
144,-0.0027781,0.017305,-0.0051664,414.91,1030.7,67.591,7.7147,0.054485,0.017305,0.054485
148,-0.0027895,0.018875,-0.0087902,426.62,1059.2,67.557,7.7147,0.022843,0.018875,0.022843
152,-0.0027107,0.01499,0.0012242,438.34,1087.8,67.548,7.7148,0.022593,0.01499,0.022593
156,-0.0026594,0.013638,0.0019416,450.07,1116.3,67.546,7.7149,0.0024367,0.013638,0.0024367
160,-0.0026827,0.014911,-0.0042056,461.8,1144.9,67.539,7.7148,0.012215,0.014911,0.012215
164,-0.0026648,0.014113,-0.00064431,473.54,1173.4,67.517,7.7148,-0.011995,0.014113,0.011995
168,-0.0027157,0.014612,-0.0026299,485.29,1201.9,67.502,7.7148,-0.0088888,0.014612,0.0088888
172,-0.0028358,0.012711,-0.0027897,497.05,1230.5,67.521,7.7147,0.075617,0.012711,0.075617
