Time (s),Surge Velocity,Sway Velocity,Yaw Rate,Position X,Position Y,Yaw Angle,Speed U,Rudder Angle (deg),Rudder Angle (rad),OOD Label
0,0,0,0,0,0,0,7.7175,0,0,0
1,0,-0.000881109093038606,0.00467568124486468,7.7175,0,0,7.71750005029823,0,0,0
2,-5.05061946273619e-08,-0.00194062972400084,0.00893315986668464,15.435,-0.000881109093038606,0.00467568124486468,7.71750019348757,0,0,0
3,-2.78632950096638e-07,-0.00315310473839392,0.0128247452746449,23.1525000821634,-0.00219194425960544,0.0136088411115493,7.71750036549205,0,0,0
4,-8.39532020045812e-07,-0.00449637621971385,0.0163960195595167,30.8700003347604,-0.00351199545570486,0.0264335863861942,7.71750047030922,0,0,0
5,-1.90513560301529e-06,-0.00595115988821997,0.0196867033367701,38.5875007483234,-0.00444787904127373,0.0428296059457109,7.71750038940975,0,0,0
6,-3.6560903363542e-06,-0.00750067436189825,0.0227314102240254,46.3050011355825,-0.00463007183311137,0.062516309282481,7.71749998888078,0,0,0
7,-6.27604792635639e-06,-0.00913031821971858,0.0255603042743371,54.022501069626,-0.00371006403465275,0.0852477195065063,7.71749912484287,0,0,0
8,-9.9476885145021e-06,-0.0108273887102223,0.0281996728380958,61.7399998360119,-0.00135787722244622,0.110808023780843,7.71749764754567,0,0,0
9,-1.48500112457183e-05,-0.0125808367382528,0.030672425720993,69.4574963955485,0.00274009952320731,0.139007696618939,7.71749540445279,0,0,0
10,-2.11565455607553e-05,-0.014381053452539,0.0329985301092313,77.1749893552194,0.00888299623494717,0.169680122339932,7.71749224255297,10,0.174532925199433,0
11,-2.90342261149153e-05,-0.0162196843589209,0.0351953895174194,84.892476945317,0.0173571070645734,0.202678652449164,7.71748801007968,10,0.174532925199433,0
12,-0.000349878090447976,-0.0235775738784306,0.0559458942610391,92.6099570013003,0.0284373247441585,0.237874041966583,7.71718613913638,10,0.174532925199433,0
13,-0.00162143225673303,-0.0370042944142834,0.0934229199979131,100.327138501398,0.0368990402578293,0.293819936227622,7.71596730099117,10,0.174532925199433,0
14,-0.00290136006972761,-0.0516157161402335,0.127887832358044,108.04310537638,0.0394630510394428,0.387242856225535,7.71477130946645,10,0.174532925199433,0
15,-0.00420624607462645,-0.0672292746522888,0.159708166016637,115.757876667953,0.0399884880276121,0.515130688583579,7.71358673443907,10,0.174532925199433,0
16,-0.00555348931390592,-0.083684585242117,0.189200759379451,123.47146311089,0.0421091115466269,0.674838854600216,7.71240054026569,10,0.174532925199433,0
17,-0.00696076612388272,-0.100840225493531,0.216638061760772,131.183860335312,0.0492607701002299,0.864039613979667,7.71119861164401,10,0.174532925199433,0
18,-0.00844563928784144,-0.118570985716682,0.242253733502477,138.895043480593,0.0647051269711435,1.08067767574044,7.70996616173307,10,0.174532925199433,0
19,-0.0100252724278303,-0.136765525589594,0.266247610928509,146.604962907254,0.0915500418956494,1.32293140924292,7.7086880521366,10,0.174532925199433,0
20,-0.0117162196106566,-0.155324382672284,0.28879010247271,154.313540768987,0.13276696511909,1.58917902017143,7.70734904710848,10,0.174532925199433,0
21,-0.0135342684465674,-0.174158285408076,0.310026077343935,162.020668265763,0.191205671532456,1.87796912264413,7.70593401874983,10,0.174532925199433,0
22,-0.0154943211503117,-0.193186729512904,0.330078303162774,169.726203444479,0.269606633860178,2.18799519998807,7.70442811566782,10,0.174532925199433,0
23,-0.0176103026326195,-0.212336782160884,0.349050483971483,177.429969448557,0.370611306565135,2.51807350315084,7.70281690426838,10,0.174532925199433,0
24,-0.0198950880893092,-0.231542083099951,0.367029944918239,185.131753144673,0.49677056669761,2.86712398712233,7.70108648932849,10,0.174532925199433,0
25,-0.0223604450521049,-0.250742015830577,0.384090004854822,192.831304075086,0.650551534620808,3.23415393204057,7.69922361856223,10,0.174532925199433,0
26,-0.0250169866824185,-0.269881025337123,0.400292073183478,200.528333699202,0.834342976520008,3.61824393689539,7.69721577442237,10,0.174532925199433,0
27,-0.0278741343931972,-0.288908061668109,0.415687502651592,208.222514899204,1.05045947183422,4.01853601007887,7.69505125526179,10,0.174532925199433,0
28,-0.0309400887985396,-0.307776131011786,0.43031922550676,215.913481732553,1.30114451212247,4.43422351273046,7.69271924713947,10,0.174532925199433,0
